"","Player_Id","Player_Name","MVPI_17","Batting_index_17","Bowling_index_17","All_rounder_index_17","MVPI_17_16","Batting_index_17_16","Bowling_index_17_16","All_rounder_index_17_16","MVPI_17_16_15","Batting_index_17_16_15","Bowling_index_17_16_15","All_rounder_index_17_16_15","Batting_index_17_rank","Bowling_index_17_rank","All_rounder_index_17_rank","Batting_index_17_16_rank","Bowling_index_17_16_rank","All_rounder_index_17_16_rank","Batting_index_17_16_15_rank","Bowling_index_17_16_15_rank","All_rounder_index_17_16_15_rank"
"40",187,"DA Warner",1982.3336743149,21.7523138763548,0,0.0210900236821318,4286.21179567835,23.2359385014637,0,0.0196940187943727,5577.7687388235,21.3771547126893,0,0.0178149393513902,3,117,19,1,119.5,24,3,119.5,33
"41",191,"AD Mathews",46.030612244898,6.19627984226704,2.33397933227264,0.00797975407208479,43.6173406268455,6.45649228173234,3.87002663017581,0.00864713447157837,298.472928211542,8.7477566904611,23.5236282153989,0.0200740415923246,75,88,119,88,89,116,69,20,23
"42",194,"SL Malinga",18.7076020106447,0.90050196158084,13.9459860690685,0.0126569593914398,19.0278176529995,0.651082305248053,13.9952875839494,0.0120330408178535,77.4533596479818,0.436822824564954,15.5302817893793,0.00880400683491878,117,24,61,127,26,77,136,69,114
"43",207,"AP Tare",15.6384241071429,3.52085621003749,0,0.00341365710669465,19.8217997847581,3.54952780542673,0,0.00300846326077249,30.6417348505563,3.26912500824131,0,0.00272436928752552,91,117,134,106,119.5,140,110,119.5,140
"44",208,"AT Rayudu",151.808706054687,8.69737921410175,0,0.0084325711113095,742.935805531986,11.1908102165488,0,0.00948496342056884,1288.63182643648,11.5041246683135,0,0.00958711699528393,59,117,114,44,119.5,109,43,119.5,109
"45",216,"EJG Morgan",101.514234411002,8.24246898112437,0,0.00799151147777939,295.573624002109,9.34325331190918,0,0.00791903483105421,609.418188276584,9.79185699440913,0,0.00816017570333334,62,117,118,62,119.5,124,56,119.5,122
"46",221,"KA Pollard",796.697444044582,10.7567682343556,3.21570485779786,0.0131464173111232,1118.38926125563,10.9123559222221,4.77434917947199,0.0131656502677754,2066.91463449236,12.5035080257672,37.641190824035,0.0308761759810781,41,82.5,60,46,85,70,30,4,4
"47",228,"Bipul Sharma",68.270321222699,11.8152472586279,15.8689717395149,0.0248642409436373,214.692713426305,16.2429678318652,14.7612591547306,0.0258765853318241,219.512812023355,16.1753518743918,18.7775015479058,0.0236846322372402,29,21,12,15,20,7,14,48,14
"48",232,"UT Yadav",33.9411396444418,0.383917576024183,10.5881667200448,0.00931886241148226,81.2331733489486,7.61227972426322,11.0204944906342,0.015492715472534,155.439711930656,9.63769615272634,17.526482681276,0.0175565192571712,131,54,103,74,61,48,58,58,39
"49",236,"Mandeep Singh",276.067381621188,7.20158966209624,0,0.0069823236914443,259.197409773494,7.51895149689466,0,0.00637281649219774,543.917222679619,8.55237388058051,0,0.00712723578234274,69,117,128,79,119.5,133,70,119.5,126
"50",237,"KM Jadhav",593.041151466426,12.6539107857816,0,0.0122686386221104,681.002717613449,15.2436784543866,0,0.0129200415105744,965.501951405584,12.2191613687697,0,0.0101830024451415,22,117,65,18,119.5,71,34,119.5,102
"51",254,"AJ Finch",626.296698778196,9.66686711795884,0,0.00937254112866531,1457.4428975759,13.7250678625676,0,0.0116329170187131,1414.38805757268,12.7509088542559,0,0.0106261413629025,51,117,102,25,119.5,83,29,119.5,98
"52",255,"STR Binny",116.634177927805,6.06602645157581,6.01470487418415,0.0109635520132296,214.287510369712,7.15362496281281,13.1684522679866,0.0168660781059023,330.248355385484,7.7934679617193,20.4774692421415,0.0176233287149553,78,81,83,82,34,39,78,32,36
"53",257,"IR Jaggi",58.7965806361607,12.3762511899949,0,0.0119994328960439,53.4658549832534,12.9558589408586,0,0.0109809607846241,52.3581478871758,12.7794978107965,0,0.0106499663542887,24,117,71,29,119.5,91,28,119.5,97
"54",258,"DT Christian",159.735463750616,6.32626255127896,11.1785268203986,0.0155791153189566,154.308234858099,6.56033298189265,11.1090463026809,0.0146737645008361,153.339130181702,6.49012690786346,16.7523595128797,0.0145127507193791,72,49,45,86,60,59,88,65,58
"55",260,"MA Agarwal",25.8391009852217,3.44509847248945,0,0.0033402059562527,53.5905850393132,3.70252853363464,0,0.0031381416560174,362.680632854967,7.06449728719655,0,0.00588729381486685,92,117,135,105,119.5,139,85,119.5,133
"56",270,"S Aravind",38.7348989590345,4.21519469151056,19.3601623807456,0.0204455214007274,37.210236969007,4.40421400300612,18.8357838153745,0.0191850321627781,54.8381776181749,4.36385266078469,18.0485688279251,0.0134452200252481,85,15,22,97,11,27,100,55,65
"57",276,"Shakib Al Hasan",0,0.447220393202451,2.47877249455251,0.00252808077774364,180.518288088625,9.16667691553039,18.9432735120914,0.0233097198912507,234.169836394667,8.51754963618717,24.3795475790998,0.0203473471971507,127,86,138,64,9,14,71,17,21
"58",293,"S Nadeem",16.9922985387098,0.304098764117505,8.62359784613482,0.00758148122036805,17.9547291149105,0.47818649016791,11.6218169870825,0.00993939445400392,17.9328624598076,0.565699290754495,20.483349176794,0.0116031659635911,135,68,123,133,52,104,132,31,86
"59",296,"VR Aaron",16.0877803658482,1.64504696079214,10.4947243785922,0.0104626387950404,16.3417265216539,1.70411047563784,10.9136779464671,0.0103975168883124,23.6416975311213,2.1164783475425,21.0293882481604,0.0131922749907835,109,56,90,117,62,96,117,27,69
"60",299,"B Kumar",79.8109785477689,1.81960927482918,7.24572618309752,0.00788659535412201,195.590798257399,4.16471556571145,8.7597270781286,0.0107160251376606,264.767254999375,4.66476723973116,13.2797734420426,0.011104376173397,105,76,121,100,79,93,97,81,90
"61",303,"F du Plessis",9.28979591836735,3.28614660779287,0,0.0031860936806656,396.336162645477,12.0625012127711,0,0.0102237800972185,1118.20730954393,12.8550434386714,0,0.0107129233191861,95,117,136,34,119.5,99,27,119.5,96
"62",305,"GJ Maxwell",753.263716867317,11.916255402568,7.84634716940847,0.0181833339785897,978.829374327,10.3431426197782,11.218601967974,0.0179698251116618,1132.56805397587,8.46804828520946,19.1217761011816,0.0174487441060815,27,73,33,52,59,32,73,43,41
"63",306,"SPD Smith",1074.16822321429,14.7568959938855,0,0.0143075944818959,1753.54390383885,18.1482570206299,0,0.0153818669655576,2183.48186498282,14.9459906362946,0,0.0124554422845611,18,117,52,10,119.5,51,19,119.5,76
"64",307,"MN Samuels",30.0430472237723,3.86089579184581,2.27779094094015,0.00566799794737332,28.7461993200768,3.98605638280188,3.77685932241232,0.00647684315443158,28.4905635862973,3.93937709186616,4.39814520086427,0.00567311706768835,88,89,130,102,90,131,106,90,135
"65",308,"SA Yadav",172.22967872191,8.06057346494739,0,0.00781515411342487,473.782748515899,9.57651060197618,0,0.00811673605384814,704.773913621872,8.43276806114758,0,0.00702756066430627,63,117,122,59,119.5,122,74,119.5,128
"66",310,"JP Faulkner",76.3918202681503,5.2250300312905,12.5288558820443,0.0156523931580309,198.828166170181,7.5450068816254,15.828541935881,0.0193800375697678,419.91614589685,7.32969805649834,25.6420842936069,0.020043564184387,82,35,44,77,17,25,81,14,24
"67",314,"Ankit Sharma",51.8733433314732,9.63195408302146,3.21570485779786,0.0120558502466501,56.5704985164167,11.2422973394928,32.843755556339,0.0364723775799848,61.737667261127,7.15236369500236,29.3835372331839,0.0219290831739582,52,82.5,70,42,3,2,83,9,18
"68",315,"SP Narine",451.842103682783,7.4118083253918,16.121977502236,0.0208086541094289,453.334449902285,7.92487072859646,13.2007359001778,0.0175462449735043,461.061114147751,7.88131741898279,20.3148680183659,0.0176081731560381,67,19,21,72,33,37,77,33,37
"69",320,"DA Miller",144.560046684451,10.4554194104921,0,0.0101370844604073,345.267068815118,7.54261309084218,0,0.00639287128257679,981.685570808096,9.44281247615785,0,0.0078692947602352,44,117,95,78,119.5,132,59,119.5,124
"70",322,"P Negi",284.873120230594,6.99505827240086,6.47314513944144,0.0122516638454602,346.788035917817,8.06120544554259,7.87321600885558,0.0132913018985667,542.170602009789,7.90603191300649,14.6939001629819,0.0145740387599794,70,78,67,71,80,68,76,76,57
